17	49	14	36	19	35	420	19	20	20	18	22	20	21	15	17
18	17	15	20	18	15	15	16	20	79	42	28	44	41	31	66
30	40	14	31	20	19	14	191	15	21	16	22	19	18	16	17
20	18	14	21	19	27	15	16	26	81	75	57	33	18	30	310
393	18	15	20	24	26	15	17	43	25	16	24	22	20	15	17
20	19	15	21	20	19	18	15	18	22	27	25	560	20	21	17
43	220	22	345	148	221	231	958	19	20	18	23	32	25	15	15
29	19	15	24	21	20	15	15	34	23	1097	27	24	26	20	20
24	110	14	33	18	22	15	50	19	22	16	21	21	18	17	16
631	16	15	22	23	29	16	24	35	25	17	31	25	19	15	15
18	22	15	66	142	73	31	17	18	20	15	23	23	20	14	17
21	49	15	41	24	17	17	272	19	19	16	24	22	21	14	16
19	19	14	20	20	18	15	17	20	20	36	130	19	18	31	23
33	20	14	50	45	28	14	15	28	634	794	163	214	1274	449	205
24	42	15	42	23	20	15	110	20	19	17	24	21	18	14	16
18	20	15	45	800	82	31	17	17	19	16	22	20	19	17	17
20	16	15	21	22	16	14	17	19	31	51	41	20	28	152	42
18	17	13	20	18	17	15	17	21	26	678	41	20	22	38	34
19	19	15	21	19	18	15	16	21	20	70	87	104	36	21	17
19	19	15	20	19	18	16	17	19	25	125	57	58	34	34	22
22	19	13	20	22	17	14	16	19	23	47	27	30	141	20	16
19	19	13	19	20	17	16	15	18	20	45	33	40	142	29	16
19	19	15	108	39	18	23	22	19	21	19	24	20	18	17	16
18	18	15	20	19	18	13	15	21	29	47	27	19	20	426	18
19	41	14	115	173	273	45	22	22	20	20	22	26	22	15	15
29	78	15	36	26	25	15	135	18	20	16	24	30	19	16	17
19	21	15	18	19	16	13	19	18	22	1222	23	21	22	16	17
61	344	37	1318	837	743	683	196	22	20	18	30	64	32	16	20
1231	18	15	22	28	37	16	18	47	46	19	48	49	18	18	33
24	21	14	32	27	19	15	14	21	253	33	42	66	58	52	79
22	18	15	19	20	18	13	15	19	31	33	37	20	20	21	727
20	18	15	21	19	17	15	17	19	26	95	47	88	76	69	16
19	19	13	18	19	18	15	16	22	44	114	48	22	38	1842	25
22	18	13	20	19	18	16	15	77	27	27	22	29	24	25	25
19	18	13	21	22	19	16	16	20	87	82	53	59	37	77	106
21	21	14	19	20	17	12	15	19	31	178	58	75	70	59	30
19	89	14	35	25	33	26	25	18	21	18	22	21	18	15	16
19	16	14	20	25	16	14	18	19	70	105	63	42	55	116	124
19	19	15	21	20	17	14	16	20	38	112	23	21	25	18	18
18	72	15	23	32	20	16	47	20	20	16	22	21	18	15	17
20	20	14	19	457	17	15	19	17	19	19	22	18	19	15	15
18	20	14	20	20	18	15	16	19	186	23	23	20	42	27	27
20	17	15	19	21	15	14	17	20	25	80	33	29	30	26	20
22	17	14	18	21	18	14	15	18	27	1620	50	23	39	56	54
84	74	15	30	34	37	17	50	32	21	18	25	32	17	15	18
21	26	15	189	246	93	29	16	18	20	19	24	36	17	17	18
176	20	15	24	39	24	15	17	55	37	19	30	47	44	24	36
33	18	14	25	19	17	15	15	20	791	99	68	87	127	120	226
27	105	21	496	318	305	751	46	17	21	14	25	55	27	14	18
18	21	15	71	74	39	34	14	20	21	17	22	19	19	14	14
33	18	14	19	19	19	17	16	21	98	25	28	24	42	22	49
19	57	14	37	35	37	70	66	20	20	19	21	21	18	19	18
19	18	16	20	17	15	14	16	20	24	55	31	20	33	59	22
716	18	15	21	21	17	14	16	20	20	16	20	19	19	19	16
18	151	15	39	32	39	19	64	20	20	16	22	21	20	15	17
34	18	15	25	23	18	14	16	21	224	25	27	29	44	25	47
19	21	15	21	19	18	17	15	21	21	40	24	19	641	14	16
21	43	15	58	20	20	47	342	20	20	16	25	23	18	15	17
30	18	15	46	45	28	13	16	33	905	721	163	160	322	968	244
42	78	14	60	33	25	14	52	19	18	17	24	29	22	15	17
19	19	14	34	119	185	24	17	20	19	17	23	19	17	16	18
19	18	14	21	28	18	13	17	20	21	511	195	93	66	83	41
19	15	14	19	18	17	13	16	18	54	79	32	41	44	31	31
19	47	15	41	27	16	32	439	22	19	17	24	17	17	17	16
20	19	15	21	19	321	15	16	19	21	18	20	19	19	14	19
18	16	15	20	20	16	15	17	20	55	445	83	96	109	118	46
20	17	16	20	24	16	15	17	19	32	23	31	21	19	24	106
18	19	14	18	19	17	15	14	21	20	51	52	411	54	28	17
18	18	15	19	20	19	16	18	21	22	33	23	22	211	16	17
21	66	18	175	83	94	113	48	21	21	17	25	24	18	14	18
88	26	14	23	33	30	15	16	62	67	127	54	38	40	39	123
20	18	15	20	20	17	14	16	19	24	137	44	32	37	28	22
18	18	14	20	20	17	13	18	19	44	32	36	17	20	26	347
19	18	15	21	19	17	17	15	18	31	32	24	20	20	164	23
698	1144	24	360	284	256	58	2802	106	26	31	73	157	79	22	26
18	18	14	20	23	18	14	17	19	23	45	25	18	135	17	18
19	19	14	23	20	17	16	15	20	29	844	52	44	38	44	32
19	18	14	22	21	18	14	17	19	20	25	37	579	22	27	17
22	21	14	20	23	18	12	17	20	54	53	37	44	31	28	146
18	19	14	20	20	16	15	17	19	20	1422	26	20	29	26	21
